V4	dis2ts_3MBPP1_18Cr1_pr_counts	dis2ts_3MBPP1_18Cr1gb_counts	dis2ts_3MBPP1_18Cr1term_counts	dis2ts_3MBPP1_18Cr1pr_map	dis2ts_3MBPP1_18Cr1gb_map	dis2ts_3MBPP1_18Cr1term_map	dis2ts_3MBPP1_18Cr1pr_density	dis2ts_3MBPP1_18Cr1pr_densityRPKM	dis2ts_3MBPP1_18Cr1gb_density	dis2ts_3MBPP1_18Cr1gb_densityRPKM	dis2ts_3MBPP1_18Cr1pause_index_CI_low	dis2ts_3MBPP1_18Cr1pause_index_CI_high	dis2ts_3MBPP1_18Cr1pause_index_scaled	dis2ts_3MBPP1_18Cr1pause_index_CI_low_scaled	dis2ts_3MBPP1_18Cr1pause_index_CI_high_scaled	dis2ts_3MBPP1_18Cr1_ExpPR	dis2ts_3MBPP1_18Cr1_ExpGB	dis2ts_3MBPP1_18Cr1Fexact_Pval
SPAC1002.01	14	36	37	100	481	300	0.14	60.3512529135645	0.0748440748440748	32.2638120714037	0.200039421327952	0.745535239285459	1.87055555555556	0.962189616587447	3.58602450096306	7	107	1
SPAC1002.02	10	81	31	100	837	300	0.1	43.1080377954032	0.0967741935483871	41.7174559310354	0.0602526413285343	0.245518893178009	1.03333333333333	0.504314607919832	2.05499313589994	9	101	1
SPAC1002.03c	8	216	70	100	2955	300	0.08	34.4864302363226	0.0730964467005076	31.5104438707516	0.0169842171635905	0.0772850154612877	1.09444444444444	0.501883617184099	2.28377220688105	7	101	1
SPAC1002.04c	21	74	8	100	641	300	0.21	90.5268793703468	0.115444617784711	49.7659094673922	0.169574946544183	0.470866283041976	1.81905405405405	1.08697540734821	3.01825287429906	12	109	1
SPAC1002.05c	8	154	93	100	2086	300	0.08	34.4864302363226	0.0738255033557047	31.8247258892239	0.0236911719148033	0.109039297049855	1.08363636363636	0.494197846142798	2.27455973645997	7	101	1
SPAC1002.06c	12	19	11	100	311	300	0.12	51.7296453544839	0.0610932475884244	26.3361002608573	0.288933100706193	1.36478755449112	1.96421052631579	0.89858194319626	4.24448929446738	6	106	1
SPAC1002.07c	12	66	29	100	1084	300	0.12	51.7296453544839	0.0608856088560886	26.246591277644	0.093386708828291	0.346374249837915	1.97090909090909	1.01231192369867	3.754696868243	6	106	1
SPAC1002.08c	46	118	36	100	1783	300	0.46	198.296973858855	0.0661805945036455	28.5291556918541	0.273245674757494	0.55486507390441	6.95067796610169	4.87197038092612	9.89324426771562	9	137	1.95171232063905e-14
SPAC1002.09c	16	433	44	100	2132	300	0.16	68.9728604726452	0.203095684803002	87.550564565711	0.0216567781915339	0.0620747825753944	0.787806004618938	0.461722511043504	1.32343436450741	19	97	1
SPAC1002.10c	9	74	78	100	1806	300	0.09	38.7972340158629	0.0409745293466224	17.6633155972306	0.0569143002426048	0.250953288212761	2.19648648648649	1.02787226238144	4.53221638512247	4	105	1
